"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 18:52:36 GMT 2024","Tue Feb 20 18:53:33 GMT 2024","56971","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Feb 20 18:56:41 GMT 2024","Tue Feb 20 18:56:44 GMT 2024","2455","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldSeeErrorForInvalidProjectURL","Authorized user should see error for invalid project URL",""
"passed","Tue Feb 20 18:56:08 GMT 2024","Tue Feb 20 18:56:08 GMT 2024","123","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithMaxIdLength","Create project with maximum ID length",""
"passed","Tue Feb 20 18:56:10 GMT 2024","Tue Feb 20 18:56:10 GMT 2024","53","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithValidData","Create project with valid data",""
"passed","Tue Feb 20 18:56:11 GMT 2024","Tue Feb 20 18:56:11 GMT 2024","182","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithoutParentProjectId","Create project without parent project ID",""
"passed","Tue Feb 20 18:56:13 GMT 2024","Tue Feb 20 18:56:13 GMT 2024","92","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProjectTest","System admin should have rights to create project test",""
"failed","Tue Feb 20 18:56:14 GMT 2024","Tue Feb 20 18:56:14 GMT 2024","30","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unautorizedUserShouldNotHaveRightToCreateProject","Unauthorized user should not have right to create project",""
"passed","Tue Feb 20 18:56:07 GMT 2024","Tue Feb 20 18:56:07 GMT 2024","85","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdWithInvalidCharacters","Create project with ID with invalid characters",""
"passed","Tue Feb 20 18:56:07 GMT 2024","Tue Feb 20 18:56:07 GMT 2024","90","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithSpecialSymbol","Create project with ID starting with a special symbol",""
"passed","Tue Feb 20 18:56:11 GMT 2024","Tue Feb 20 18:56:12 GMT 2024","211","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProjectTest","Project admin should have rights to create build config to his project test",""
"unknown","Tue Feb 20 18:55:59 GMT 2024","Tue Feb 20 18:55:59 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithMinIdLength","Create project with minimum ID length",""
"failed","Tue Feb 20 18:56:12 GMT 2024","Tue Feb 20 18:56:13 GMT 2024","308","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProjectTest","Project admin should not have rights to create build config to another project test",""
"passed","Tue Feb 20 18:56:06 GMT 2024","Tue Feb 20 18:56:06 GMT 2024","118","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithEmptyName","Create project with empty name",""
"passed","Tue Feb 20 18:56:00 GMT 2024","Tue Feb 20 18:56:03 GMT 2024","2723","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","Build configuration test",""
"broken","Tue Feb 20 18:56:33 GMT 2024","Tue Feb 20 18:56:40 GMT 2024","7431","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","Autorized user should be able create new project",""
"passed","Tue Feb 20 18:56:08 GMT 2024","Tue Feb 20 18:56:08 GMT 2024","150","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithReallyLongOfName","Create project with really long name",""
"unknown","Tue Feb 20 18:55:59 GMT 2024","Tue Feb 20 18:55:59 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithAlreadyExistingId","Create project with already existing ID",""
"unknown","Tue Feb 20 18:55:59 GMT 2024","Tue Feb 20 18:55:59 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithNameWhatAlreadyExist","Create project with name that already exists",""
"broken","Tue Feb 20 18:56:15 GMT 2024","Tue Feb 20 18:56:27 GMT 2024","12128","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldBeAbleCreateBuildConfig","User should be able to create build type",""
"passed","Tue Feb 20 18:56:09 GMT 2024","Tue Feb 20 18:56:09 GMT 2024","101","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithSpecialSymbolsAndNumbersInID","Create project with special symbols and numbers in ID",""
"passed","Tue Feb 20 18:56:07 GMT 2024","Tue Feb 20 18:56:07 GMT 2024","156","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithNumber","Create project with ID starting with a number",""
"passed","Tue Feb 20 18:56:03 GMT 2024","Tue Feb 20 18:56:04 GMT 2024","1487","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","copiedAllAssociatedSettingsInProject","Copied all associated settings in project",""
"passed","Tue Feb 20 18:56:09 GMT 2024","Tue Feb 20 18:56:10 GMT 2024","111","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithSpecialSymbolsAndNumbersInName","Create project with special symbols and numbers in name",""
"failed","Tue Feb 20 18:56:27 GMT 2024","Tue Feb 20 18:56:32 GMT 2024","4964","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldSeeErrorForInvalidProjectURL","User should see error for invalid project URL",""
"passed","Tue Feb 20 18:53:47 GMT 2024","Tue Feb 20 18:54:29 GMT 2024","42355","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityAgentTestUI","setupTeamCityAgentTestUI",""
"passed","Tue Feb 20 18:56:06 GMT 2024","Tue Feb 20 18:56:06 GMT 2024","127","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithEmptyId","Create project with empty ID",""
"passed","Tue Feb 20 18:56:05 GMT 2024","Tue Feb 20 18:56:05 GMT 2024","801","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectInRootDirectoryAndCheckIt","Create project in root directory and check it",""
